time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1690789890.60845327,0.04229426,17967,0.00593566,0.00000000,0,0.00000237,1582,2078,860,0.00000000
1690789890.70811176,0.01003774,18338,0.00138195,0.00000000,0,0.00000082,2078,2241,624,0.00399151
1690789890.80857396,0.00793935,18284,0.00082049,0.00000000,0,0.00000074,2241,2408,467,0.00084981
1690789890.90843606,0.04690566,18104,0.00532553,0.00000000,0,0.00000173,2408,2382,412,0.00412583
1690789891.00843215,0.03975828,18060,0.00261473,0.00000000,0,0.00000207,2382,2488,322,0.00156573
1690789891.10819173,0.01466631,18352,0.00087161,0.00000000,0,0.00000084,2488,2533,260,0.00026519
1690789891.20846915,0.00794468,18184,0.00050862,0.00000000,0,0.00000084,2533,2518,234,0.00033482
1690789891.30805063,0.01553080,18103,0.00048560,0.00000000,0,0.00000292,2518,2483,219,0.00121145
1690789891.40802431,0.01417725,18117,0.00040628,0.00000000,0,0.00000105,2483,2534,212,0.00095120
1690789891.50798178,0.01010267,18191,0.00037943,0.00000000,0,0.00000071,2534,2532,183,0.00037920
1690789891.60811925,0.02911642,18031,0.00239844,0.00000000,0,0.00000170,2532,2536,200,0.00028966
1690789891.70801449,0.01445397,18153,0.00045257,0.00000000,0,0.00000157,2536,2558,170,0.00096550
1690789891.80797577,0.02780838,18265,0.00115438,0.00000000,0,0.00000149,2558,2628,179,0.00098020
1690789891.90807724,0.02031265,18145,0.00029593,0.00000000,0,0.00000138,2628,2640,151,0.00109881
1690789892.00801182,0.03559716,18131,0.00040748,0.00000000,0,0.00000146,2640,2629,145,0.00099435
1690789892.10823464,0.02040234,18220,0.00051293,0.00000000,0,0.00000155,2629,2570,148,0.00059597
1690789892.20808458,0.01147942,18032,0.00024644,0.00000000,0,0.00000216,2570,2612,136,0.00074529
1690789892.30801058,0.02860051,18161,0.00144375,0.00000000,0,0.00000137,2612,2598,114,0.00182696
1690789892.40850019,0.01583071,18200,0.00025377,0.00000000,0,0.00000151,2598,2617,115,0.00142654
1690789892.50807214,0.01865875,18271,0.00089361,0.00000000,0,0.00000237,2617,2688,138,0.00109878
1690789892.60801649,0.01177888,18138,0.00029782,0.00000000,0,0.00000099,2688,2703,113,0.00057404
1690789892.70846391,0.02818004,18010,0.00029989,0.00000000,0,0.00000123,2703,2673,97,0.00174241
1690789892.80807805,0.01273026,18336,0.00021427,0.00000000,0,0.00000078,2673,2682,96,0.00121411
1690789892.90803742,0.01536647,18078,0.00019866,0.00000000,0,0.00000255,2682,2685,82,0.00141871
1690789893.00792289,0.01315335,18144,0.00025637,0.00000000,0,0.00000101,2685,2679,87,0.00059013
1690789893.10802150,0.00682700,18349,0.00015157,0.00000000,0,0.00000055,2679,2686,77,0.00124285
1690789893.20804071,0.03205712,18145,0.00105196,0.00000000,0,0.00000176,2686,2645,88,0.00181877
1690789893.30792046,0.02225744,18216,0.00030732,0.00000000,0,0.00000144,2645,2640,93,0.00094405
1690789893.40808606,0.02151413,18133,0.00081345,0.00000000,0,0.00000112,2640,2656,80,0.00071046
1690789893.50802684,0.00593010,18317,0.00018544,0.00000000,0,0.00000068,2656,2657,83,0.00027889
1690789893.60848904,0.00705791,18085,0.00017225,0.00000000,0,0.00000150,2657,2631,67,0.00154692
1690789893.70809364,0.00795773,18207,0.00012729,0.00000000,0,0.00000055,2631,2667,65,0.00046441
1690789893.80855417,0.00664054,18105,0.00019957,0.00000000,0,0.00000190,2667,2662,70,0.00157914
1690789893.90851235,0.00621968,18117,0.00015468,0.00000000,0,0.00000077,2662,2692,80,0.00026077
1690789894.00806713,0.02147800,18041,0.00019102,0.00000000,0,0.00000243,2692,2738,79,0.00070285
1690789894.10799813,0.00652564,18249,0.00014665,0.00000000,0,0.00000125,2738,2736,68,0.00032786
1690789894.20849085,0.01128952,18110,0.00016595,0.00000000,0,0.00000174,2736,2717,56,0.00028315
1690789894.30787826,0.00982151,18181,0.00011797,0.00000000,0,0.00000098,2717,2740,56,0.00027434
1690789894.40803671,0.02649643,18112,0.00075257,0.00000000,0,0.00000229,2740,2725,77,0.00077883
1690789894.50853395,0.00732285,18220,0.00016035,0.00000000,0,0.00000559,2725,2691,63,0.00039358
1690789894.60807371,0.02177228,18145,0.00027914,0.00000000,0,0.00000105,2691,2669,70,0.00039700
1690789894.70803690,0.00739836,18172,0.00010298,0.00000000,0,0.00000063,2669,2695,55,0.00031799
1690789894.80850887,0.02311707,18138,0.00041014,0.00000000,0,0.00000145,2695,2694,41,0.00099003
1690789894.90850401,0.00685238,18304,0.00009743,0.00000000,0,0.00000054,2694,2716,51,0.00028785
1690789895.00805402,0.03324277,18058,0.00054033,0.00000000,0,0.00000124,2716,2752,65,0.00103074
1690789895.10814714,0.00632226,18215,0.00009125,0.00000000,0,0.00000120,2752,2778,47,0.00027115
1690789895.20810223,0.03307601,18127,0.00020935,0.00000000,0,0.00000300,2778,2784,54,0.00121504
1690789895.30809760,0.00645854,18057,0.00027099,0.00000000,0,0.00000088,2784,2664,54,0.00026975
1690789895.40803719,0.00833855,18197,0.00014732,0.00000000,0,0.00000321,2664,2677,47,0.00123932
1690789895.50808859,0.00795691,18290,0.00013383,0.00000000,0,0.00000093,2677,2696,47,0.00027418
1690789895.60859156,0.00780111,18079,0.00010313,0.00000000,0,0.00000066,2696,2668,34,0.00112155
1690789895.70854449,0.00711622,18174,0.00010819,0.00000000,0,0.00000090,2668,2678,45,0.00027078
1690789895.80850673,0.00867649,18075,0.00010158,0.00000000,0,0.00000125,2678,2710,50,0.00028374
1690789895.90804410,0.00894129,18306,0.00011931,0.00000000,0,0.00000109,2710,2731,37,0.00051860
1690789896.00846243,0.00790438,18030,0.00012059,0.00000000,0,0.00000087,2731,2737,43,0.00028184
1690789896.10805845,0.00679394,18273,0.00013047,0.00000000,0,0.00000072,2737,2726,45,0.00031479
1690789896.20802307,0.00744239,18174,0.00014235,0.00000000,0,0.00000061,2726,2762,57,0.00040917
1690789896.30847263,0.00629029,18116,0.00010215,0.00000000,0,0.00000071,2762,2778,46,0.00032715
1690789896.40810490,0.00715075,18239,0.00009173,0.00000000,0,0.00000063,2778,2788,33,0.00043232
1690789896.50859261,0.00904339,17950,0.00015555,0.00000000,0,0.00000062,2788,2790,53,0.00033923
1690789896.60799122,0.02112628,18298,0.00013823,0.00000000,0,0.00000149,2790,2810,35,0.00036214
1690789896.70850515,0.00739549,18118,0.00009220,0.00000000,0,0.00000062,2810,2825,40,0.00034013
1690789896.80803275,0.01027105,18260,0.00022529,0.00000000,0,0.00000392,2825,2842,58,0.00027997
1690789896.90850043,0.00680444,18015,0.00023311,0.00000000,0,0.00000118,2842,2716,40,0.00092982
1690789897.00812101,0.01709370,18016,0.00016141,0.00000000,0,0.00000118,2716,2737,48,0.00114350
1690789897.10801196,0.00931954,18376,0.00014821,0.00000000,0,0.00000193,2737,2762,39,0.00027690
1690789897.20855427,0.01247080,18147,0.00010418,0.00000000,0,0.00000099,2762,2761,45,0.00047010
1690789897.30810571,0.00648603,18161,0.00007958,0.00000000,0,0.00000098,2761,2798,44,0.00032915
1690789897.40803337,0.01864125,18306,0.00007670,0.00000000,0,0.00000203,2798,2814,27,0.00089254
1690789897.50856566,0.01228085,18217,0.00016315,0.00000000,0,0.00000053,2814,2816,43,0.00047386
1690789897.60809636,0.01883050,18084,0.00010715,0.00000000,0,0.00000115,2816,2814,33,0.00049615
1690789897.70805836,0.01319018,18248,0.00014979,0.00000000,0,0.00000082,2814,2831,34,0.00026287
1690789897.80856133,0.02528060,18259,0.00042463,0.00000000,0,0.00000171,2831,2848,33,0.00079224
1690789897.90812993,0.00676608,18143,0.00007548,0.00000000,0,0.00000066,2848,2847,32,0.00040608
1690789898.00807714,0.02922102,18050,0.00082565,0.00000000,0,0.00000193,2847,2811,29,0.00169893
1690789898.10816073,0.00646816,18334,0.00007824,0.00000000,0,0.00000066,2811,2820,35,0.00054940
1690789898.20815802,0.02499220,18023,0.00013488,0.00000000,0,0.00000182,2820,2808,43,0.00123545
1690789898.30809855,0.00726871,18127,0.00013163,0.00000000,0,0.00000072,2808,2757,32,0.00031983
1690789898.40850830,0.01580717,18200,0.00014860,0.00000000,0,0.00000177,2757,2763,40,0.00142331
1690789898.50852489,0.00613474,18251,0.00006794,0.00000000,0,0.00000063,2763,2797,36,0.00039146
1690789898.60807753,0.00746443,17958,0.00012021,0.00000000,0,0.00000101,2797,2781,35,0.00120559
1690789898.70801616,0.00796962,18225,0.00014601,0.00000000,0,0.00000064,2781,2781,36,0.00026678
1690789898.80852509,0.00784314,18215,0.00009941,0.00000000,0,0.00000105,2781,2745,31,0.00179841
1690789898.90808368,0.00996507,18128,0.00019786,0.00000000,0,0.00000078,2745,2754,43,0.00026878
1690789899.00852895,0.01471532,18054,0.00009906,0.00000000,0,0.00000118,2754,2752,27,0.00028591
1690789899.10806465,0.00912489,18276,0.00005081,0.00000000,0,0.00000079,2752,2769,25,0.00027151
1690789899.20810485,0.02140649,18226,0.00010531,0.00000000,0,0.00000184,2769,2763,30,0.00057548
1690789899.30806160,0.00749045,17995,0.00006110,0.00000000,0,0.00000326,2763,2769,21,0.00050182
1690789899.40810823,0.00658936,18179,0.00005888,0.00000000,0,0.00000061,2769,2782,25,0.00074559
1690789899.50806260,0.00720583,18175,0.00006304,0.00000000,0,0.00000067,2782,2791,28,0.00056211
1690789899.60800219,0.02646568,18304,0.00010931,0.00000000,0,0.00000164,2791,2801,30,0.00112409
1690789899.70852804,0.00642513,18113,0.00011346,0.00000000,0,0.00000062,2801,2805,33,0.00039561
1690789899.80808544,0.00761039,18284,0.00013675,0.00000000,0,0.00000106,2805,2822,28,0.00046652
1690789899.90807962,0.00610690,18298,0.00011028,0.00000000,0,0.00000070,2822,2803,28,0.00083365
1690789900.00817490,0.01701444,17945,0.00007626,0.00000000,0,0.00000105,2803,2804,29,0.00143618
1690789900.10806465,0.00602824,18257,0.00006617,0.00000000,0,0.00000064,2804,2789,22,0.00025880
1690789900.20805168,0.01064690,18238,0.00003595,0.00000000,0,0.00000137,2789,2794,14,0.00163591
1690789900.30818582,0.00807444,18105,0.00011467,0.00000000,0,0.00000076,2794,2819,34,0.00031855
1690789900.40804458,0.01106752,18165,0.00005951,0.00000000,0,0.00000120,2819,2791,14,0.00148142
1690789900.50855517,0.00758509,18244,0.00006292,0.00000000,0,0.00000056,2791,2806,21,0.00041025
1690789900.60812616,0.01330239,18060,0.00006778,0.00000000,0,0.00000115,2806,2802,23,0.00057239
1690789900.70809865,0.00874107,18181,0.00009657,0.00000000,0,0.00000123,2802,2783,25,0.00071497
1690789900.80857086,0.01953970,18260,0.00017156,0.00000000,0,0.00000142,2783,2762,22,0.00056487
1690789900.90815878,0.01274558,18148,0.00006062,0.00000000,0,0.00000226,2762,2772,28,0.00054609
1690789901.00809121,0.01868237,18074,0.00011708,0.00000000,0,0.00000132,2772,2774,33,0.00071620
